fef5794 was zeyadomran, 2 minutes ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
164019b was zeyadomran, 2 minutes ago, message: Added ReadMe.txt
1a24c46 was matthewJarrams, 4 minutes ago, message: Diagram explanation and cover page
599fa24 was sharansarthak, 38 minutes ago, message: Create SENG 300 Iteration 3 Meeting #3.pdf
1a72a0c was Zeyad Omran, 73 minutes ago, message: Merge pull request #14 from zeyadomran/Bug-Fix
cd541b2 was zeyadomran, 79 minutes ago, message: Fixed GUI Bugs ✅
b24b134 was Kylie Sicat, 3 hours ago, message: Updated GUI Structural Diagram.jpg
9f08f81 was Kylie Sicat, 3 hours ago, message: Update GUI Structural Diagram.drawio
1a05727 was DanySaaidBonilla, 12 hours ago, message: Update SelfCheckoutSoftware.java
b40ed56 was DanySaaidBonilla, 12 hours ago, message: Add files via upload
8a49d98 was DanySaaidBonilla, 12 hours ago, message: Bug fixs
a9594fb was matthewJarrams, 20 hours ago, message: Text fixes
61b32f8 was matthewJarrams, 20 hours ago, message: Fixed some errors
44bfc22 was matthewJarrams, 20 hours ago, message: Added folders
c2febdb was matthewJarrams, 20 hours ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
3e36afa was matthewJarrams, 20 hours ago, message: Possible script for presentation  (design)
7c34a94 was Mackenzie Dalton, 20 hours ago, message: Add files via upload
549e358 was matthewJarrams, 21 hours ago, message: Abstracted class diagram
98e69d4 was sharansarthak, 22 hours ago, message: Added number of bags in receipt
f6e4071 was zeyadomran, 22 hours ago, message: Added Start Screen for GUI ✅
fa3ef8b was zeyadomran, 23 hours ago, message: Fixed Bagging Area Bug 🔨
4b39c33 was zeyadomran, 23 hours ago, message: GUI Completed!!!!!!!!!!!!!! ✅
4beee10 was zeyadomran, 24 hours ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
7e058a4 was zeyadomran, 24 hours ago, message: Organized Main Class 🗃
166b6d9 was Mackenzie Dalton, 24 hours ago, message: Add files via upload
5b2d547 was zeyadomran, 24 hours ago, message: Added Paying with various cards 💳
f862ee8 was zeyadomran, 25 hours ago, message: Added Pay with Coin and Pay with Cash to GUI 💰
bda073f was Nathan Lum, 26 hours ago, message: Added comments
7d1dc64 was Nathan Lum, 26 hours ago, message: Added comments
95e8889 was Nathan Lum, 26 hours ago, message: Added comments
ad748dd was Nathan Lum, 27 hours ago, message: Added comments, fixed misspelling in file name
45a882f was zeyadomran, 30 hours ago, message: Added checking weight before checking out ✅
dd0bec1 was Mackenzie Dalton, 2 days ago, message: Add files via upload
b80916b was Mackenzie Dalton, 2 days ago, message: Delete PlaceInBaggingArea-SequenceDiagram.pdf
50b51a6 was Mackenzie Dalton, 2 days ago, message: Add files via upload
5b45995 was matthewJarrams, 2 days ago, message: Added some Checkout GUI stuff
520cf53 was matthewJarrams, 2 days ago, message: Fixed bug in GUI/Code
31dc561 was Kylie Sicat, 2 days ago, message: Added Structural Diagrams
9fc7d33 was Kylie Sicat, 2 days ago, message: Updated GUI Structural Diagram.drawio
3d518dd was Kylie Sicat, 2 days ago, message: Added GUI Structural Diagram.drawio
3314d10 was Kylie Sicat, 2 days ago, message: Updated SelfCheckoutSystem - Software - Structural.drawio
133c7b4 was joseph-yclam, 2 days ago, message: Upload pay banknote and pay coin sequence diagrams
ba447f5 was matthewJarrams, 2 days ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
79202fd was matthewJarrams, 2 days ago, message: Added currentMember use case
eedb3c5 was mathew-luong, 2 days ago, message: Upload State and Sequence diagrams
abf6c61 was zeyadomran, 2 days ago, message: Fixed Bug ⚡️
4da174b was zeyadomran, 2 days ago, message: Added add ink/paper to printer func to gui ✅
565a942 was zeyadomran, 2 days ago, message: Added remove product from purchases functionality ⚡️
c8d99e2 was zeyadomran, 2 days ago, message: Added refill banknote/coin dispenser functionality to GUI ✅
594807b was zeyadomran, 2 days ago, message: Added attendant approves weight discrepancy function to GUI ✅
f862674 was zeyadomran, 2 days ago, message: Added shutdown/startup/block functionality to GUI 👨🏽‍🔧
cf2a67c was zeyadomran, 2 days ago, message: Added attendant empties coin storage to GUI ✅
5da85ce was zeyadomran, 2 days ago, message: Added attendant empties banknote storage to GUI ✅
d2ee4c8 was zeyadomran, 2 days ago, message: Added attendant lookup functionality 🔍
ed87141 was kirkelumir, 3 days ago, message: Merge pull request #13 from zeyadomran/testcasesbranch
b89e47e was kirkelumir, 3 days ago, message: Added some tests to MemberTest.java
02071a3 was sharansarthak, 3 days ago, message: Removed unused variable
3b65a66 was zeyadomran, 3 days ago, message: Small Fixes 🔨
2b6c553 was zeyadomran, 3 days ago, message: Added Attendant looks up product function 🔍
e978d35 was zeyadomran, 3 days ago, message: Added Attendantt Login/Logout 👨🏽‍🔧
dd8b646 was zeyadomran, 3 days ago, message: Added support for attendant panel and checkout panel ⚡️
650c1ac was zeyadomran, 3 days ago, message: Added addOwnBag functionality 🛍
0205a60 was zeyadomran, 3 days ago, message: Fixed Compatability between main and GUI branches 🚀
682020c was Zeyad Omran, 3 days ago, message: Merge pull request #12 from zeyadomran/GUI
12b6168 was zeyadomran, 3 days ago, message: Merge GUI to Main
39a3df0 was zeyadomran, 3 days ago, message: .
7568c88 was zeyadomran, 3 days ago, message: Added remove from bagging area functionality ✅
1b621f8 was zeyadomran, 3 days ago, message: Added Lookup for BarcodedProducts & PLUCodedProducts 🔍
815bfcb was zeyadomran, 3 days ago, message: Added Swipe Member Card functionality 💳
25a091e was sharansarthak, 4 days ago, message: checkLowPaper Function created
25d92b5 was sharansarthak, 4 days ago, message: Merge branch 'main' of https://github.com/zeyadomran/Self-Checkout-Station-Simulator into main
47a78fe was sharansarthak, 4 days ago, message: Create SENG 300 Iteration 3 Meeting #2.pdf
